No,Nama,Harga,Jlh,Total,Code,Tanggal
1,sdl,300,1,300,I,2/16/2025
2,sdl,175,1,175,H,2/16/2025
3,sdl,150,2,250,M,2/16/2025
4,Longchamp,275,1,250,M,2/16/2025
5,sdl,300,1,300,I,2/16/2025
6,sdl,300,1,300,nova,2/16/2025
7,sdl,300,1,300,E,2/16/2025
8,Ranse,225,1,225,E,2/16/2025
9,Coco,300,1,300,M,2/16/2025
10,sdl,175,2,350,E,2/16/2025
11,sdl,300,1,275,H,2/16/2025
12,sdl,175,2,300,H,2/16/2025
13,sdl,250,2,450,H,2/16/2025
14,sdl,350,1,300,I,2/16/2025
15,sdl,150,1,150,I,2/16/2025
16,sdl,200,1,200,I,2/16/2025
17,sdl,200,1,200,M,2/16/2025
18,sdl,350,1,350,E,2/16/2025
19,sdl,175,1,150,H,2/16/2025
20,Coco,225,1,185,I,2/16/2025
21,Coco,225,1,185,I,2/16/2025
22,sdl,150,1,150,Nova,2/16/2025
23,Sdl,250,1,250,Nova,2/16/2025
24,Sdl,300,1,300,Nova,2/16/2025
25,Spoon,0,1,0,Nova,2/16/2025
26,Sdl,300,1,300,C,2/16/2025
27,Sdl,175,1,175,I,2/16/2025
28,Coco,325,1,325,E,2/16/2025
29,Sdl,175,1,175,H,2/16/2025
30,Sdl,350,1,325,E,2/16/2025
31,Sdl,300,1,275,E,2/16/2025
32,Sdl,350,1,325,E,2/16/2025
33,Coco,225,1,225,H,2/16/2025
34,Sdl,200,1,200,I,2/16/2025
35,Sdl,275,1,275,I,2/16/2025
36,Sdl,200,1,180,M,2/16/2025
37,Sdl,200,1,200,M,2/16/2025
38,T Bag,250,1,225,M,2/16/2025
39,Sdl,200,2,350,H,2/16/2025
40,Sdl,250,1,225,H,2/16/2025
41,Sdl,300,2,600,H,2/16/2025
42,Coco,200,1,200,I,2/16/2025
43,LC,300,1,300,I,2/16/2025
44,Sdl,200,1,200,Nova,2/16/2025
45,sdl,175,1,175,I,2/16/2025
46,sdl,150,1,150,M,2/16/2025
47,sdl,200,1,175,M,2/16/2025
48,sdl,225,1,200,M,2/16/2025
49,sdl,300,1,300,M,2/16/2025
50,sdl,300,1,300,M,2/16/2025
51,sdl,150,1,150,I,2/16/2025
52,sdl,200,1,200,M,2/16/2025
53,sdl,300,1,300,Nova,2/16/2025
54,sdl,300,1,250,E,2/16/2025
55,sdl,200,1,175,E,2/16/2025
56,coco,225,1,185,E,2/16/2025
57,sdl,200,1,175,M,2/16/2025
58,sdl,175,1,175,I,2/16/2025
