No,Nama Barang,BM,tgl,lokasi
1,BB Kilat 18mm 1x,0,11/1/2024,Bilal
2,BB Kilat 18mm 2x,0,11/1/2024,Bilal
3,BB Polos 18mm ,0,11/1/2024,Bilal
4,Pvc Board 3mm,10,11/1/2024,Bilal
4,Pvc Board 3mm,-10,11/1/2024,Gudang AA5
5,Pvc Board 5mm,10,11/1/2024,Bilal
5,Pvc Board 5mm,-10,11/1/2024,Gudang AA5
6,Pvc Board 8mm,20,11/1/2024,Bilal
6,Pvc Board 8mm,-20,11/1/2024,Gudang AA5
7,Pvc Board 9mm,20,11/1/2024,Bilal
7,Pvc Board 9mm,-20,11/1/2024,Gudang AA5
8,Pvc Board 12mm,4,11/1/2024,Bilal
8,Pvc Board 12mm,-4,11/1/2024,Gudang AA5
9,Pvc Board 15mm,2,11/1/2024,Bilal
9,Pvc Board 15mm,-2,11/1/2024,Gudang AA5
10,Pvc Board 18mm,5,11/1/2024,Bilal
10,Pvc Board 18mm,-5,11/1/2024,Gudang AA5
11,Pvc Board 8mm Grey ,0,11/1/2024,Bilal
12,Pvc Board 12mm rey,0,11/1/2024,Bilal
1,BB Dof 18mm ,0,11/1/2024,Bilal
1,BB Kilat 18mm 1x,800,11/1/2024,Gudang AA5
2,BB Kilat 18mm 2x,400,11/1/2024,Gudang AA5
3,Poly Doff Bangau 3mm,0,11/1/2024,Gudang AA5
4,Poly Kilat Bangau 3mm,0,11/1/2024,Gudang AA5
5,Poly Doff Harimau 3mm,0,11/1/2024,Gudang AA5
6,Poly Kilat Harimau 3mm,0,11/1/2024,Gudang AA5
7,Poly Kilat Diamond 3mm,0,11/1/2024,Gudang AA5
8,HMR Doff 3mm,0,11/1/2024,Gudang AA5
9,Ply UT 3mm Meranti,0,11/1/2024,Gudang AA5
10,Ply UT 5mm Kayu Alam,0,11/1/2024,Gudang AA5
11,Pvc Board 3mm,0,11/1/2024,Gudang AA5
12,Pvc Board 5mm,0,11/1/2024,Gudang AA5
13,Pvc Board 8mm,0,11/1/2024,Gudang AA5
14,Pvc Board 9mm,0,11/1/2024,Gudang AA5
15,Pvc Board 12mm,0,11/1/2024,Gudang AA5
16,Pvc Board 15mm,0,11/1/2024,Gudang AA5
17,Pvc Board 18mm,0,11/1/2024,Gudang AA5
1,HPL Putih Kilat,0,11/1/2024,Gudang AA5
2,HPL Putih Doff,0,11/1/2024,Gudang AA5
3,HPL Putih Marmer,0,11/1/2024,Gudang AA5
1,BA 101 Bright White,0,11/1/2024,Gudang AA5
2,BA 502 Snowy,0,11/1/2024,Gudang AA5
3,BA 323 Black Quart,0,11/1/2024,Gudang AA5
4,BA 7858,0,11/1/2024,Gudang AA5
5,BA 201 Jade Snow,0,11/1/2024,Gudang AA5
6,BW 202 Café Mocha,0,11/1/2024,Gudang AA5
7,BA 830 Frost,0,11/1/2024,Gudang AA5
8,BA 696 Metalic Black ,0,11/1/2024,Gudang AA5
9,BA 933 Pema White,0,11/1/2024,Gudang AA5
10,BPW 701,0,11/1/2024,Gudang AA5
11,BSW 6060 Calacta Grigio,0,11/1/2024,Gudang AA5
12,BA 2018 Troya,0,11/1/2024,Gudang AA5
13,BA 2015 Pinacle,0,11/1/2024,Gudang AA5
14,GM 248 Straw Comet,0,11/1/2024,Gudang AA5
15,GM 816 Crystal Planet,0,11/1/2024,Gudang AA5
16,G 510 Beige Comet,0,11/1/2024,Gudang AA5
17,KE 915 Mystery Comet,0,11/1/2024,Gudang AA5
18,G 209 Wood Galaxy,0,11/1/2024,Gudang AA5
19,KE 910 Spring Galaxy,0,11/1/2024,Gudang AA5
20,GM 868 Café comet,0,11/1/2024,Gudang AA5
21,KE 2057 Swan Planet,0,11/1/2024,Gudang AA5
22,KE 015 IQ Planet,0,11/1/2024,Gudang AA5
23,GM 1172 Grey Quartz,0,11/1/2024,Gudang AA5
