No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
2,11/10/2024,Hmr Doff 3mm,6250000,Belum Lunas,Bintang Terang
3,15/10/24,Bb Kilat 18mm 1x,2800000,Belum Lunas,Bintang Terang
4,30/09/24,Poly doff Diamond 3mm,26660000,Belum Lunas,Tetap Jaya
5,30/10/24,Poly doff Harimau 3mm,17700000,Belum Lunas,Tetap Jaya
6,31/10/24,Pvc Board 18mm,10200000,Belum Lunas,Tetap Jaya
8,30/08/24,Ply UT 3mm Meranti,13000000,Belum Lunas,Cemara Jaya
9,4/9/2024,Pvc Board 15mm,2200000,Belum Lunas,Cemara Jaya
10,4/9/2024,Pvc Board 8mm,12000000,Belum Lunas,Cemara Jaya
11,19/09/24,Ply UT 12mm Kayu Alam,21840000,Belum Lunas,Cemara Jaya
12,26/09/24,Pvc Board 8mm,12000000,Belum Lunas,Cemara Jaya
13,12/10/2024,Hmr Doff 3mm,25400000,Belum Lunas,Cemara Jaya
14,15/10/24,Ply UT 3mm Meranti,16046000,Belum Lunas,Cemara Jaya
15,17/10/24,Pvc Board 18mm,12272000,Belum Lunas,Cemara Jaya
16,22/10/24,Pvc Board 5mm,5840000,Belum Lunas,Cemara Jaya
17,22/10/24,Pvc Board 12mm,9825000,Belum Lunas,Cemara Jaya
18,31/10/24,Pvc Board 18mm,23350000,Belum Lunas,Cemara Jaya
19,23/10/24,Bb Kilat 18mm 1x,1140000,Belum Lunas,Medan Jaya
20,23/10/24,Bb Kilat 18mm 2x,3580000,Belum Lunas,Medan Jaya
21,12/10/2024,Bb Kilat 18mm 1x,13950000,Belum Lunas,Giat Profil
22,12/10/2024,Bb Kilat 18mm 2x,17550000,Belum Lunas,Giat Profil
23,15/10/24,Bb Kilat 18mm 1x,2790000,Belum Lunas,Giat Profil
24,15/10/24,Bb Kilat 18mm 2x,3510000,Belum Lunas,Giat Profil
25,14/10/24,Bb Kilat 18mm 1x,7000000,Belum Lunas,Medan Abadi
26,14/10/24,Bb Kilat 18mm 2x,17600000,Belum Lunas,Medan Abadi
27,16/10/24,Pvc Board 5mm,1700000,Belum Lunas,Sumarsono Ongko
28,28/10/24,Pvc Board 5mm,2550000,Belum Lunas,Sumarsono Ongko
29,4/9/2024,Pvc Board 8mm,7740000,Belum Lunas,Asiong
30,4/10/2024,Pvc Board 5mm,10200000,Belum Lunas,Aneka Rejeki
31,4/10/2024,Pvc Board 15mm,9000000,Belum Lunas,Aneka Rejeki
32,23/10/24,Pvc Board 18mm,22500000,Belum Lunas,Aneka Rejeki
33,24/10/24,Pvc Board 5mm,370000,Belum Lunas,Megah Jaya Bogor
34,24/10/24,Pvc Board 9mm,300000,Belum Lunas,Megah Jaya Bogor
35,24/10/24,Pvc Board 18mm,2800000,Belum Lunas,Megah Jaya Bogor
36,4/10/2024,Pvc Board 5mm,895000,Belum Lunas,Usaha Baru
