id,nama,harga,kuantitas,tanggal
3,Sdl,175,-1,14-02-25
4,Sdl,200,36,14-02-25
5,LC,175,-1,14-02-25
6,LC,275,-1,14-02-25
7,T Pesta,300,1,14-02-25
8,T Pesta,325,-1,14-02-25
9,Coco,200,3,14-02-25
10,Coco,225,-6,14-02-25
11,Coco,250,4,14-02-25
12,Coco,350,-1,14-02-25
13,Sdl,275,1,14-02-25
14,Sdl,150,-1,15-02-25
1,Sdl,200,1,16-02-25
2,Sdl,300,-1,16-02-25
15,Sdl,300,1,16-02-25
21,D,100,-1,28-03-25
21,SDL,125,1,28-03-25
21,SDL,275,-1,28-03-25
21,SDL,300,-2,28-03-25
21,SDL,350,1,28-03-25
21,SDL,200,5,28-03-25
21,SDL,225,2,28-03-25
21,SDL,250,-1,28-03-25
22,coco,200,-1,14-04-25
23,coco,225,2,14-04-25
24,d,125,1,14-04-25
25,sdl,100,1,14-04-25
26,sdl,150,4,14-04-25
27,sdl,175,5,14-04-25
28,sdl,200,-7,14-04-25
29,sdl,225,14,14-04-25
30,sdl,250,1,14-04-25
31,sdl,275,2,14-04-25
32,sdl,300,1,14-04-25
33,sdl,350,1,14-04-25
34,spon,10,1,14-04-25
35,T Pesta,325,1,14-04-25
36,botega,275,1,16-04-25
37,coco,225,7,16-04-25
38,coco,275,3,16-04-25
39,d,125,-1,16-04-25
40,dior,300,-1,16-04-25
41,goyard,275,-2,16-04-25
42,goyard,300,1,16-04-25
43,lv,275,-1,16-04-25
44,lv,300,-1,16-04-25
45,sdl,125,1,16-04-25
46,sdl,150,36,16-04-25
47,sdl,200,3,16-04-25
48,sdl,175,-20,16-04-25
49,sdl,225,-18,16-04-25
50,sdl,350,1,16-04-25
51,coco,200,-9,25-04-25
52,t pesta,250,-1,25-04-25
53,fendi,250,-1,25-04-25
54,t pesta,325,1,25-04-25
55,sdl,300,-6,02-05-25
56,sdl,350,7,02-05-25
57,sdl,125,-3,13-05-25
58,sdl,150,4,13-05-25
59,sdl,150,-2,25-05-25
61,sdl,275,0,25-05-25
62,sdl,300,6,25-05-25
62,sdl,100,1,25-05-25
63,sdl,175,-5,02-06-25
64,sdl,250,-7,02-06-25
65,loewe,350,1,28-05-25
66,t pesta,225,1,03-06-25
67,Coco,225,5,06-06-25
68,coco,275,1,03-06-25
69,fendi,275,-1,03-06-25
70,fendi,300,-2,03-06-25
71,lc,100,-1,03-06-25
72,coco,200,-4,03-06-25
