No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
1,21/11/24,BB kilat 18mm 1x,1140000,LUNAS,Medan Jaya
2,21/11/24,BB kilat 18mm 2x,5728000,LUNAS,Medan Jaya
3,04/12/24,Poly doff harimau 3mm,17700000,LUNAS,Tetap Jaya
4,05/12/24,Pvc Board 5mm,7150000,LUNAS,Aneka Rezeki
5,05/12/24,Pvc Board 18mm,23050000,LUNAS,Aneka Rezeki
6,20/12/24,Poly doff Bangau 3mm,6400000,LUNAS,Hari Indah
7,04/11/24,Pvc Board 5mm,4380000,LUNAS,Cemara Jaya
8,04/11/24,Pvc Board 12mm,9810000,LUNAS,Cemara Jaya
9,05/11/24,Pvc Board 5mm,2920000,LUNAS,Cemara Jaya
10,05/11/24,Pvc Board 8mm,4600000,LUNAS,Cemara Jaya
11,05/11/24,Pvc Board 12mm,6540000,LUNAS,Cemara Jaya
12,05/11/24,Ply UT 5mm Kayu Alam,19200000,LUNAS,Cemara Jaya
13,07/11/24,Pvc Board 15mm,5698000,LUNAS,Cemara Jaya
14,07/11/24,Pvc Board 12mm,4578000,LUNAS,Cemara Jaya
15,07/11/24,Pvc Board 8mm,2300000,LUNAS,Cemara Jaya
16,07/11/24,Pvc Board 5mm,1460000,LUNAS,Cemara Jaya
17,08/11/24,Pvc Board 8mm,690000,LUNAS,Cemara Jaya
18,09/11/24,Pvc Board 8mm,11500000,LUNAS,Cemara Jaya
19,12-11-24,Poly doff harimau 3mm,17700000,LUNAS,Tetap Jaya
20,18/11/24,Pvc Board 8mm,3450000,LUNAS,Cemara Jaya
21,18/11/24,Pvc Board 12mm,4905000,LUNAS,Cemara Jaya
22,18/11/24,Pvc Board 15mm,5291000,LUNAS,Cemara Jaya
23,18/11/24,Pvc Board 8mm,8050000,LUNAS,Cemara Jaya
24,02-12-24,BB kilat 18mm 2x,7020000,LUNAS,Giat Profil
25,23/11/24,Pvc Board 12mm,4845000,LUNAS,Cemara Jaya
26,23/11/24,Pvc Board 15mm,2025000,LUNAS,Cemara Jaya
27,23/11/24,Pvc Board 15mm,2025000,LUNAS,Cemara Jaya
28,12/12/24,BB kilat 18mm 1x,8370000,LUNAS,Giat Profil
