id,Nama Barang,Harga
1,BB KILAT 18MM 1X,257000
2,BB KILAT 18MM 2X,312500
3,BB POLOS 18MM,150000
4,PVC BOARD 3MM,85850
5,PVC BOARD 5MM,131750
6,PVC BOARD 8MM,200600
7,PVC BOARD 9MM,226950
8,PVC BOARD 12MM,294950
9,PVC BOARD 15MM,368900
10,PVC BOARD 18MM,420750
11,PVC BOARD 8MM GREY,240720
12,PVC BOARD 12MM GREY,353940
13,PVC BOARD 18MM SEVEN,420750
14,PVC BOARD 15MM SEVEN,368900
15,PVC BOARD 8MM SEVEN,200600
16,PVC BOARD 5MM SEVEN,131750
17,PVC BOARD 9MM SEVEN,226950
18,PVC BOARD 12MM SEVEN,294950
19,PVC BOARD 3MM SEVEN,85850
20,BB DOFF 18MM,260000
23,POLY DOFF BANGAU 3MM,119000
24,POLY KILAT BANGAU 3MM,115500
25,POLY DOFF HARIMAU 3MM,109500
26,POLY KILAT HARIMAU 3MM,106500
27,POLY KILAT DIAMOND 3MM,106500
28,POLY DOFF DIAMOND 3MM,109500
29,HMR DOFF 3MM,110000
30,PLY UT 3MM MERANTI,46000
31,"PLY UT 3,6MM KAYU ALAM",67000
32,PLY UT 8MM KAYU ALAM,111000
33,PLY UT 5MM KAYU ALAM,88000
34,PLY UT 12MM KAYU ALAM,178000
42,BA 101 BRIGHT WHITE,1830000
43,BA 502 SNOWY,1830000
44,BA 323 BLACK QUART,1830000
45,BA 7858,1830000
46,BA 201 JADE SNOW,1830000
47,BW 202 CAFÉ MOCHA,1830000
48,BA 830 FROST,1830000
49,BA 696 METALIC BLACK,1830000
50,BA 933 PEMA WHITE,1830000
51,BPW 701,1830000
52,BSW 6060 CALACTA GRIGIO,1830000
53,BA 2018 TROYA,1830000
54,BA 2015 PINNACLE,1830000
55,GM 248 STRAW COMET,1830000
56,GM 816 CRYSTAL PLANET,1830000
57,G 510 BEIGE COMET,1830000
58,KE 915 MYSTERY COMET,1830000
59,G 209 WOOD GALAXY,1830000
60,KE 910 SPRING GALAXY,1830000
61,GM 868 CAFÉ COMET,1830000
62,KE 2057 SWAN PLANET,1830000
63,KE 015 IQ PLANET,1830000
64,GM 1172 GREY QUARTZ,1830000
64,BSW 3011 Callacta Bianco,1830000
65,HPL PUTIH KILAT,60000
66,HPL PUTIH DOFF,60000
67,HPL PUTIH MARMER,75000
68,HPL Hitam Kilat,60000
69,HPL Hitam Doff,60000
70,HPL Hitam Serat Jeruk,60000
78,Kerawangan 8400,23000
79,Kerawangan 8406,23000
80,Kerawangan 8425,23000
81,Kerawangan 8428,23000
82,MDF 3mm,0
83,HPL G4-S30 Croc W,830000
84,HPL A3-191-G Spark Red,745000
85,HPL A3-191-T Spark Red,745000
86,HPL A3-228-G Chrysantemum,745000
87,HPL A5-302 Acromax Pro,500000
