No,Nama Barang,Stok,Lokasi
1,BB Kilat 18mm 1x,32,Bilal
2,BB Kilat 18mm 2x,1,Bilal
3,BB Polos 18mm ,30,Bilal
4,Pvc Board 3mm,19,Bilal
5,Pvc Board 5mm,11,Bilal
6,Pvc Board 8mm,12,Bilal
7,Pvc Board 9mm,14,Bilal
8,Pvc Board 12mm,14,Bilal
9,Pvc Board 15mm,12,Bilal
10,Pvc Board 18mm,11,Bilal
11,Pvc Board 8mm Grey ,10,Bilal
12,Pvc Board 12mm rey,5,Bilal
1,BB Dof 18mm ,64,Gudang 888
1,BB Kilat 18mm 1x,140,Gudang AA5
2,BB Kilat 18mm 2x,1,Gudang AA5
3,Poly Doff Bangau 3mm,700,Gudang AA5
4,Poly Kilat Bangau 3mm,290,Gudang AA5
5,Poly Doff Harimau 3mm,950,Gudang AA5
6,Poly Kilat Harimau 3mm,90,Gudang AA5
7,Poly Kilat Diamond 3mm,1505,Gudang AA5
7,Poly Doff Diamond 3mm,0,Gudang AA5
8,HMR Doff 3mm,250,Gudang AA5
9,Ply UT 3mm Meranti,425,Gudang AA5
10,Ply UT 5mm Kayu Alam,500,Gudang AA5
10,Ply UT 12mm Kayu Alam,0,Gudang AA5
11,Pvc Board 3mm,275,Gudang AA5
12,Pvc Board 5mm,244,Gudang AA5
13,Pvc Board 8mm,420,Gudang AA5
14,Pvc Board 9mm,158,Gudang AA5
15,Pvc Board 12mm,163,Gudang AA5
16,Pvc Board 15mm,56,Gudang AA5
17,Pvc Board 18mm,267,Gudang AA5
1,BA 101 Bright White,34,Bilal
2,BA 502 Snowy,2,Bilal
3,BA 323 Black Quart,3,Bilal
4,BA 7858,4,Bilal
5,BA 201 Jade Snow,5,Bilal
6,BW 202 Café Mocha,3,Bilal
7,BA 830 Frost,2,Bilal
8,BA 696 Metalic Black ,8,Bilal
9,BA 933 Pema White,5,Bilal
10,BPW 701,5,Bilal
11,BSW 6060 Calacta Grigio,2,Bilal
12,BA 2018 Troya,6,Bilal
13,BA 2015 Pinacle,7,Bilal
14,GM 248 Straw Comet,1,Bilal
15,GM 816 Crystal Planet,1,Bilal
16,G 510 Beige Comet,3,Bilal
17,KE 915 Mystery Comet,1,Bilal
18,G 209 Wood Galaxy,1,Bilal
19,KE 910 Spring Galaxy,2,Bilal
20,GM 868 Café comet,1,Bilal
21,KE 2057 Swan Planet,2,Bilal
22,KE 015 IQ Planet,1,Bilal
23,GM 1172 Grey Quartz,1,Bilal
