id,Nama Barang,Stok,Lokasi
1,BB KILAT 18MM 1X,32,BILAL
2,BB KILAT 18MM 2X,1,BILAL
3,BB POLOS 18MM ,30,BILAL
4,PVC BOARD 3MM,20,BILAL
5,PVC BOARD 5MM,21,BILAL
6,PVC BOARD 8MM,26,BILAL
7,PVC BOARD 9MM,0,BILAL
8,PVC BOARD 12MM,17,BILAL
9,PVC BOARD 15MM,9,BILAL
10,PVC BOARD 18MM,16,BILAL
11,PVC BOARD 8MM GREY ,10,BILAL
12,PVC BOARD 12MM GREY,5,BILAL
13,BB DOFF 18MM,64,GUDANG 888
14,BB KILAT 18MM 1X,876,GUDANG AA5
15,BB KILAT 18MM 2X,330,GUDANG AA5
16,POLY DOFF BANGAU 3MM,700,GUDANG AA5
17,POLY KILAT BANGAU 3MM,0,GUDANG AA5
18,POLY DOFF HARIMAU 3MM,800,GUDANG AA5
19,POLY KILAT HARIMAU 3MM,90,GUDANG AA5
20,POLY KILAT DIAMOND 3MM,1505,GUDANG AA5
21,POLY DOFF DIAMOND 3MM,0,GUDANG AA5
22,HMR DOFF 3MM,250,GUDANG AA5
23,PLY UT 3MM MERANTI,425,GUDANG AA5
101,"Ply UT 3,6mm Kayu Alam",0,GUDANG AA5
102,Ply UT 8mm Kayu Alam,0,GUDANG AA5
24,PLY UT 5MM KAYU ALAM,0,GUDANG AA5
25,PLY UT 12MM KAYU ALAM,0,GUDANG AA5
26,PVC BOARD 3MM,245,GUDANG AA5
27,PVC BOARD 5MM,159,GUDANG AA5
28,PVC BOARD 8MM,260,GUDANG AA5
29,PVC BOARD 9MM,107,GUDANG AA5
30,PVC BOARD 12MM,65,GUDANG AA5
31,PVC BOARD 15MM,0,GUDANG AA5
32,PVC BOARD 18MM,262,GUDANG AA5
33,BA 101 BRIGHT WHITE,34,BILAL
34,BA 502 SNOWY,2,BILAL
35,BA 323 BLACK QUART,3,BILAL
36,BA 7858,4,BILAL
37,BA 201 JADE SNOW,5,BILAL
38,BW 202 CAFÉ MOCHA,3,BILAL
39,BA 830 FROST,2,BILAL
40,BA 696 METALIC BLACK ,8,BILAL
41,BA 933 PEMA WHITE,5,BILAL
42,BPW 701,5,BILAL
43,BSW 6060 CALACTA GRIGIO,2,BILAL
44,BA 2018 TROYA,6,BILAL
45,BA 2015 PINACLE,7,BILAL
46,GM 248 STRAW COMET,1,BILAL
47,GM 816 CRYSTAL PLANET,1,BILAL
48,G 510 BEIGE COMET,3,BILAL
49,KE 915 MYSTERY COMET,1,BILAL
50,G 209 WOOD GALAXY,1,BILAL
51,KE 910 SPRING GALAXY,2,BILAL
52,GM 868 CAFÉ COMET,1,BILAL
53,KE 2057 SWAN PLANET,2,BILAL
54,KE 015 IQ PLANET,1,BILAL
55,GM 1172 GREY QUARTZ,1,BILAL
56,HPL Putih Kilat,46,BILAL
57,HPL Putih Doff,50,BILAL
58,HPL Putih Marmer,31,BILAL
59,Kerawangan ANT 10,0,BILAL
