no,Nama,Harga,Stok
74,Balenciaga,200,0
38,Balenciaga,275,0
44,Balenciaga,300,1
63,Balenciaga,350,0
39,Balenciaga,425,0
45,Balenciaga,1350,2
37,Balenciaga,1500,1
38,balenciaga,1750,0
86,Botega,225,26
87,Botega,250,4
100,Botega,275,2
90,Botega,300,12
114,Botega,325,4
91,Botega,350,6
113,Botega,400,10
82,Botega,450,3
85,Botega,500,2
62,Botega,550,0
107,Burberry,250,3
53,Celine,200,1
57,chanel,350,0
58,Chanel,375,0
59,Christy Ng,250,0
60,Christy Ng,275,0
77,Coach,225,0
78,Coach,250,1
79,Coach,300,2
80,Coach,350,1
81,Coach,425,0
106,Coach,500,0
76,Coach,1250,0
105,Coach,1500,0
21,Coco,175,1
22,Coco,200,8
23,Coco,225,20
24,Coco,250,8
25,Coco,275,2
26,Coco,300,27
27,Coco,325,29
28,Coco,350,3
29,Coco,450,0
50,D,50,1
46,D,75,25
65,D,100,40
47,D,125,19
48,D,175,1
49,D,200,2
69,D,500,2
82,Dior,200,0
83,Dior,225,1
84,Dior,250,5
85,Dior,275,0
86,Dior,300,0
60,Fendi,225,1
41,Fendi,250,3
61,Fendi,275,0
71,Fendi,300,0
101,Givenchy,450,0
102,Givenchy,500,2
103,Givenchy,550,2
104,Goyard,250,13
112,Goyard,275,8
110,Goyard,300,15
98,Hermes,175,0
98,Hermes,200,0
99,Hermes,225,0
92,Hermes,250,0
70,Hermes,275,0
111,Hermes,275,0
35,Hermes,300,0
93,Hermes,300,0
94,Hermes,450,10
95,Hermes,500,0
96,Hermes,550,0
97,Hermes,1350,1
98,Hermes,1500,0
11,LC,150,1
12,LC,175,6
13,LC,225,2
13,lc,250,0
14,LC,275,4
15,LC,300,10
16,LC,325,0
68,LC,350,1
54,LC,375,0
55,LC,400,1
56,LC,100,0
108,Loewe,350,2
109,Loewe,1250,0
59,LV,175,0
67,LV,200,0
42,LV,225,0
75,LV,250,0
56,LV,275,0
57,LV,300,2
52,Miu-Miu,200,0
66,Miu-Miu,225,0
64,MK,225,0
30,Ransel,200,0
31,Ransel,225,4
51,Ransel,250,2
36,Sdl,60,0
37,sdl,100,0
1,Sdl,125,3
2,Sdl,150,237
3,Sdl,175,188
4,Sdl,200,538
5,Sdl,225,90
6,Sdl,250,139
33,Sdl,275,7
7,Sdl,300,326
10,Sdl,325,6
8,Sdl,350,118
9,Spon,10,98
32,T Bag,250,4
34,T Bag,300,0
16,T Pesta,175,2
17,T Pesta,200,0
17,T Pesta,225,3
18,T Pesta,250,7
19,T Pesta,300,0
20,T Pesta,325,3
73,T Pesta,150,2
72,T Pesta,275,3
43,Tory,250,0
88,YSL,250,0
89,YSL,300,2
90,Gucci,200,0
90,gucci,250,0
91,Gucci,300,0
92,Gucci,275,0
